handle,title,brand,description,department_slug,tags,product_type,home_rails,activities,variant_size_preset,featured_image_url,image_gallery,price_min,price_max,currency,trend_score,category,gender,source_url,published
air-jordan-3-retro-cardinal-red,Air Jordan 3 Retro - Cardinal Red,Jordan,White leather Air Jordan 3 with cardinal red and gold accents.,unisex,dept-men|dept-women|sneakers|jordan|air-jordan-3|jordan-3|cardinal-red|retro|basketball,sneaker,popular-local|new-at-exch,basketball|training,shoe,https://images.unsplash.com/photo-1552346154-21d32810aba3?w=900&q=85,https://images.unsplash.com/photo-1552346154-21d32810aba3?w=1200&q=85,150,280,USD,88,sneakers,unisex,https://www.nike.com/w?q=Air%20Jordan%203%20Cardinal%20Red,true
air-jordan-4-retro-bred,Air Jordan 4 Retro - Bred,Jordan,Black and red Air Jordan 4 with mesh panels and visible Air cushioning.,unisex,dept-men|dept-women|sneakers|jordan|air-jordan-4|jordan-4|bred|retro|basketball|home-trending-sneakers,sneaker,trending-sneakers|popular-local,basketball|training,shoe,https://images.unsplash.com/photo-1543508282-6319a3e2621f?w=900&q=85,https://images.unsplash.com/photo-1543508282-6319a3e2621f?w=1200&q=85,260,700,USD,99,sneakers,unisex,https://www.nike.com/w?q=Air%20Jordan%204%20Bred,true
air-jordan-4-retro-military-blue,Air Jordan 4 Retro - Military Blue,Jordan,Air Jordan 4 with white leather base and military blue accents.,unisex,dept-men|dept-women|sneakers|jordan|air-jordan-4|jordan-4|military-blue|retro|basketball|home-trending-sneakers,sneaker,trending-sneakers|popular-local,basketball|training,shoe,https://images.unsplash.com/photo-1608231387042-66d1773070a5?w=900&q=85,https://images.unsplash.com/photo-1608231387042-66d1773070a5?w=1200&q=85,220,520,USD,98,sneakers,unisex,https://www.nike.com/w?q=Air%20Jordan%204%20Military%20Blue,true
air-jordan-4-retro-white-cement,Air Jordan 4 Retro - White Cement,Jordan,White cement Air Jordan 4 with speckled wings and classic mesh side panels.,unisex,dept-men|dept-women|sneakers|jordan|air-jordan-4|jordan-4|white-cement|retro|basketball,sneaker,trending-sneakers|popular-local,basketball|training,shoe,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=900&q=85,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=1200&q=85,260,760,USD,96,sneakers,unisex,https://www.nike.com/w?q=Air%20Jordan%204%20White%20Cement,true
air-jordan-4-retro-thunder,Air Jordan 4 Retro - Thunder,Jordan,Black nubuck-style Air Jordan 4 with bold yellow thunder accents.,unisex,dept-men|dept-women|sneakers|jordan|air-jordan-4|jordan-4|thunder|retro|basketball,sneaker,trending-sneakers|popular-local,basketball|training,shoe,https://images.unsplash.com/photo-1606107557195-0f29c4a5b6b8?w=900&q=85,https://images.unsplash.com/photo-1606107557195-0f29c4a5b6b8?w=1200&q=85,210,420,USD,94,sneakers,unisex,https://www.nike.com/w?q=Air%20Jordan%204%20Thunder,true
air-jordan-4-retro-black-cat,Air Jordan 4 Retro - Black Cat,Jordan,Triple black Air Jordan 4 with tonal detailing and stealth styling.,unisex,dept-men|dept-women|sneakers|jordan|air-jordan-4|jordan-4|black-cat|retro|basketball,sneaker,trending-sneakers|popular-local,basketball|training,shoe,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77?w=900&q=85,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77?w=1200&q=85,450,1200,USD,97,sneakers,unisex,https://www.nike.com/w?q=Air%20Jordan%204%20Black%20Cat,true
air-jordan-4-retro-university-blue,Air Jordan 4 Retro - University Blue,Jordan,University blue Air Jordan 4 with speckled cement details and heritage shape.,unisex,dept-men|dept-women|sneakers|jordan|air-jordan-4|jordan-4|university-blue|retro|basketball,sneaker,trending-sneakers|popular-local,basketball|training,shoe,https://images.unsplash.com/photo-1552346154-21d32810aba3?w=900&q=85,https://images.unsplash.com/photo-1552346154-21d32810aba3?w=1200&q=85,260,520,USD,95,sneakers,unisex,https://www.nike.com/w?q=Air%20Jordan%204%20University%20Blue,true
air-jordan-5-retro-fire-red,Air Jordan 5 Retro - Fire Red,Jordan,Air Jordan 5 with reflective tongue styling and fire red shark tooth details.,unisex,dept-men|dept-women|sneakers|jordan|air-jordan-5|jordan-5|fire-red|retro|basketball|home-trending-sneakers,sneaker,trending-sneakers|popular-local,basketball|training,shoe,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=900&q=85,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=1200&q=85,170,360,USD,94,sneakers,unisex,https://www.nike.com/w?q=Air%20Jordan%205%20Fire%20Red,true
air-jordan-5-retro-grape,Air Jordan 5 Retro - Grape,Jordan,White Air Jordan 5 with grape purple and emerald green accenting.,unisex,dept-men|dept-women|sneakers|jordan|air-jordan-5|jordan-5|grape|retro|basketball,sneaker,trending-sneakers|popular-local,basketball|training,shoe,https://images.unsplash.com/photo-1608231387042-66d1773070a5?w=900&q=85,https://images.unsplash.com/photo-1608231387042-66d1773070a5?w=1200&q=85,210,520,USD,92,sneakers,unisex,https://www.nike.com/w?q=Air%20Jordan%205%20Grape,true
air-jordan-5-retro-metallic-black,Air Jordan 5 Retro - Metallic Black,Jordan,Black Air Jordan 5 with metallic silver details and icy sole styling.,unisex,dept-men|dept-women|sneakers|jordan|air-jordan-5|jordan-5|metallic-black|retro|basketball,sneaker,trending-sneakers|popular-local,basketball|training,shoe,https://images.unsplash.com/photo-1543508282-6319a3e2621f?w=900&q=85,https://images.unsplash.com/photo-1543508282-6319a3e2621f?w=1200&q=85,230,650,USD,95,sneakers,unisex,https://www.nike.com/w?q=Air%20Jordan%205%20Metallic%20Black,true
air-jordan-5-retro-raging-bull,Air Jordan 5 Retro - Raging Bull,Jordan,Red suede-inspired Air Jordan 5 with black midsole and shark tooth accents.,unisex,dept-men|dept-women|sneakers|jordan|air-jordan-5|jordan-5|raging-bull|retro|basketball,sneaker,trending-sneakers|popular-local,basketball|training,shoe,https://images.unsplash.com/photo-1606107557195-0f29c4a5b6b8?w=900&q=85,https://images.unsplash.com/photo-1606107557195-0f29c4a5b6b8?w=1200&q=85,190,420,USD,91,sneakers,unisex,https://www.nike.com/w?q=Air%20Jordan%205%20Raging%20Bull,true
air-jordan-5-retro-aqua,Air Jordan 5 Retro - Aqua,Jordan,Black Air Jordan 5 with bright aqua and yellow contrast details.,unisex,dept-men|dept-women|sneakers|jordan|air-jordan-5|jordan-5|aqua|retro|basketball,sneaker,popular-local|new-at-exch,basketball|training,shoe,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77?w=900&q=85,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77?w=1200&q=85,150,280,USD,86,sneakers,unisex,https://www.nike.com/w?q=Air%20Jordan%205%20Aqua,true
air-jordan-5-retro-oregon,Air Jordan 5 Retro - Oregon,Jordan,Premium Air Jordan 5 inspired by Oregon team colors and retro basketball energy.,unisex,dept-men|dept-women|sneakers|jordan|air-jordan-5|jordan-5|oregon|retro|basketball,sneaker,popular-local,basketball|training,shoe,https://images.unsplash.com/photo-1552346154-21d32810aba3?w=900&q=85,https://images.unsplash.com/photo-1552346154-21d32810aba3?w=1200&q=85,250,700,USD,88,sneakers,unisex,https://www.nike.com/w?q=Air%20Jordan%205%20Oregon,true
air-jordan-9-retro-space-jam,Air Jordan 9 Retro - Space Jam,Jordan,Black and white Air Jordan 9 associated with the Space Jam era.,unisex,dept-men|dept-women|sneakers|jordan|air-jordan-9|jordan-9|space-jam|retro|basketball,sneaker,trending-sneakers|popular-local,basketball|training,shoe,https://images.unsplash.com/photo-1543508282-6319a3e2621f?w=900&q=85,https://images.unsplash.com/photo-1543508282-6319a3e2621f?w=1200&q=85,170,380,USD,91,sneakers,unisex,https://www.nike.com/w?q=Air%20Jordan%209%20Space%20Jam,true
air-jordan-9-retro-olive,Air Jordan 9 Retro - Olive,Jordan,Air Jordan 9 with black leather upper and olive mudguard styling.,unisex,dept-men|dept-women|sneakers|jordan|air-jordan-9|jordan-9|olive|retro|basketball,sneaker,popular-local,basketball|training,shoe,https://images.unsplash.com/photo-1606107557195-0f29c4a5b6b8?w=900&q=85,https://images.unsplash.com/photo-1606107557195-0f29c4a5b6b8?w=1200&q=85,180,420,USD,88,sneakers,unisex,https://www.nike.com/w?q=Air%20Jordan%209%20Olive,true
air-jordan-9-retro-powder-blue,Air Jordan 9 Retro - Powder Blue,Jordan,White Air Jordan 9 with powder blue accents and classic court tooling.,unisex,dept-men|dept-women|sneakers|jordan|air-jordan-9|jordan-9|powder-blue|retro|basketball,sneaker,popular-local|new-at-exch,basketball|training,shoe,https://images.unsplash.com/photo-1608231387042-66d1773070a5?w=900&q=85,https://images.unsplash.com/photo-1608231387042-66d1773070a5?w=1200&q=85,150,300,USD,87,sneakers,unisex,https://www.nike.com/w?q=Air%20Jordan%209%20Powder%20Blue,true
air-jordan-9-retro-charcoal,Air Jordan 9 Retro - Charcoal,Jordan,Dark charcoal Air Jordan 9 with red accents and retro basketball profile.,unisex,dept-men|dept-women|sneakers|jordan|air-jordan-9|jordan-9|charcoal|retro|basketball,sneaker,popular-local,basketball|training,shoe,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77?w=900&q=85,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77?w=1200&q=85,190,460,USD,89,sneakers,unisex,https://www.nike.com/w?q=Air%20Jordan%209%20Charcoal,true
air-jordan-9-retro-particle-grey,Air Jordan 9 Retro - Particle Grey,Jordan,Neutral Air Jordan 9 with particle grey overlays and red branding hits.,unisex,dept-men|dept-women|sneakers|jordan|air-jordan-9|jordan-9|particle-grey|retro|basketball,sneaker,popular-local|new-at-exch,basketball|training,shoe,https://images.unsplash.com/photo-1552346154-21d32810aba3?w=900&q=85,https://images.unsplash.com/photo-1552346154-21d32810aba3?w=1200&q=85,130,240,USD,83,sneakers,unisex,https://www.nike.com/w?q=Air%20Jordan%209%20Particle%20Grey,true
air-jordan-9-retro-cool-grey,Air Jordan 9 Retro - Cool Grey,Jordan,Cool grey Air Jordan 9 with tonal patent-style overlays and crisp white midsole.,unisex,dept-men|dept-women|sneakers|jordan|air-jordan-9|jordan-9|cool-grey|retro|basketball,sneaker,popular-local,basketball|training,shoe,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=900&q=85,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=1200&q=85,180,420,USD,86,sneakers,unisex,https://www.nike.com/w?q=Air%20Jordan%209%20Cool%20Grey,true
air-jordan-11-retro-concord,Air Jordan 11 Retro - Concord,Jordan,White and black patent leather Air Jordan 11 with concord purple detailing.,unisex,dept-men|dept-women|sneakers|jordan|air-jordan-11|jordan-11|concord|retro|basketball|home-trending-sneakers,sneaker,trending-sneakers|popular-local,basketball|training,shoe,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=900&q=85,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=1200&q=85,260,700,USD,99,sneakers,unisex,https://www.nike.com/w?q=Air%20Jordan%2011%20Concord,true
air-jordan-11-retro-bred,Air Jordan 11 Retro - Bred,Jordan,Black patent leather Air Jordan 11 with varsity red outsole and playoff heritage.,unisex,dept-men|dept-women|sneakers|jordan|air-jordan-11|jordan-11|bred|retro|basketball|home-trending-sneakers,sneaker,trending-sneakers|popular-local,basketball|training,shoe,https://images.unsplash.com/photo-1543508282-6319a3e2621f?w=900&q=85,https://images.unsplash.com/photo-1543508282-6319a3e2621f?w=1200&q=85,260,680,USD,98,sneakers,unisex,https://www.nike.com/w?q=Air%20Jordan%2011%20Bred,true
air-jordan-11-retro-space-jam,Air Jordan 11 Retro - Space Jam,Jordan,Black patent leather Air Jordan 11 with icy sole and movie-era legacy.,unisex,dept-men|dept-women|sneakers|jordan|air-jordan-11|jordan-11|space-jam|retro|basketball,sneaker,trending-sneakers|popular-local,basketball|training,shoe,https://images.unsplash.com/photo-1608231387042-66d1773070a5?w=900&q=85,https://images.unsplash.com/photo-1608231387042-66d1773070a5?w=1200&q=85,250,760,USD,97,sneakers,unisex,https://www.nike.com/w?q=Air%20Jordan%2011%20Space%20Jam,true
air-jordan-11-retro-cool-grey,Air Jordan 11 Retro - Cool Grey,Jordan,Cool grey Air Jordan 11 with patent leather mudguard and translucent outsole.,unisex,dept-men|dept-women|sneakers|jordan|air-jordan-11|jordan-11|cool-grey|retro|basketball,sneaker,trending-sneakers|popular-local,basketball|training,shoe,https://images.unsplash.com/photo-1606107557195-0f29c4a5b6b8?w=900&q=85,https://images.unsplash.com/photo-1606107557195-0f29c4a5b6b8?w=1200&q=85,220,520,USD,95,sneakers,unisex,https://www.nike.com/w?q=Air%20Jordan%2011%20Cool%20Grey,true
air-jordan-11-retro-jubilee,Air Jordan 11 Retro - Jubilee,Jordan,Black and silver Air Jordan 11 celebrating the model with premium shine.,unisex,dept-men|dept-women|sneakers|jordan|air-jordan-11|jordan-11|jubilee|retro|basketball,sneaker,trending-sneakers|popular-local,basketball|training,shoe,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77?w=900&q=85,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77?w=1200&q=85,190,420,USD,91,sneakers,unisex,https://www.nike.com/w?q=Air%20Jordan%2011%20Jubilee,true
air-jordan-11-retro-gratitude,Air Jordan 11 Retro - Gratitude,Jordan,Black and white Air Jordan 11 with gold Jumpman details and premium finish.,unisex,dept-men|dept-women|sneakers|jordan|air-jordan-11|jordan-11|gratitude|retro|basketball,sneaker,trending-sneakers|popular-local,basketball|training,shoe,https://images.unsplash.com/photo-1552346154-21d32810aba3?w=900&q=85,https://images.unsplash.com/photo-1552346154-21d32810aba3?w=1200&q=85,190,420,USD,93,sneakers,unisex,https://www.nike.com/w?q=Air%20Jordan%2011%20Gratitude,true
